,0,label,age
0,0,[human_adult_stage],
1,1,[43_year_old_human_stage],43.0
2,2,[50_year_old_human_stage],50.0
3,3,[60_year_old_human_stage],60.0
4,4,[42_year_old_human_stage],42.0
5,5,[29_year_old_human_stage],29.0
6,6,[human_middle_aged_stage],
7,7,[54_year_old_human_stage],54.0
8,8,[sixth_decade_human_stage],65.0
9,9,[eighth_decade_human_stage],85.0
10,10,[seventh_decade_human_stage],75.0
11,11,[fifth_decade_human_stage],55.0
12,12,[8_month_old_human_stage],0.8
13,13,[3_month_old_human_stage],0.3
14,14,[9_month_old_human_stage],0.9
15,15,[1_month_old_human_stage],0.1
16,16,[10_month_old_human_stage],1.0
17,17,[11_month_old_human_stage],1.0
18,18,[2_month_old_human_stage],0.2
19,19,[4_month_old_human_stage],0.4
20,20,[newborn_human_stage],1.0
21,21,[6_month_old_human_stage],0.6
22,22,[7_month_old_human_stage],0.7
23,23,[79_year_old_human_stage],79.0
24,24,[90_year_old_human_stage],90.0
25,25,[82_year_old_human_stage],82.0
26,26,[91_year_old_human_stage],91.0
27,27,[92_year_old_human_stage],92.0
28,28,[49_year_old_human_stage],49.0
29,29,[89_year_old_human_stage],89.0
30,30,[70_year_old_human_stage],70.0
31,31,[74_year_old_human_stage],74.0
32,32,[75_year_old_human_stage],75.0
33,33,[76_year_old_human_stage],76.0
34,34,[83_year_old_human_stage],83.0
35,35,[78_year_old_human_stage],78.0
36,36,[25_44_year_old_human_stage],35.0
37,37,[34_year_old_human_stage],34.0
38,38,[44_year_old_human_stage],44.0
39,39,[37_year_old_human_stage],37.0
40,40,[22_year_old_human_stage],22.0
41,41,[39_year_old_human_stage],39.0
42,42,[26_year_old_human_stage],26.0
43,43,[61_year_old_human_stage],61.0
44,44,[31_year_old_human_stage],31.0
45,45,[51_year_old_human_stage],51.0
46,46,[32_year_old_human_stage],32.0
47,47,[45_year_old_human_stage],45.0
48,48,[35_year_old_human_stage],35.0
49,49,[21_year_old_human_stage],21.0
50,50,[30_year_old_human_stage],30.0
51,51,[38_year_old_human_stage],38.0
52,52,[24_year_old_human_stage],24.0
53,53,[57_year_old_human_stage],57.0
54,54,[28_year_old_human_stage],28.0
55,55,[12_year_old_human_stage],12.0
56,56,[14_year_old_human_stage],14.0
57,57,[19_year_old_human_stage],19.0
58,58,[13_year_old_human_stage],13.0
59,59,[15_year_old_human_stage],15.0
60,60,[8_year_old_human_stage],8.0
61,61,[6_year_old_human_stage],6.0
62,62,[4_year_old_human_stage],4.0
63,63,[2_year_old_human_stage],2.0
64,64,[under_1_year_old_human_stage],0.5
65,65,[ninth_lmp_month_human_stage],0.0
66,66,[3_year_old_human_stage],3.0
67,67,[1_year_old_human_stage],1.0
68,68,[fifth_lmp_month_human_stage],0.0
69,69,[eighth_lmp_month_human_stage],0.0
70,70,[sixth_lmp_month_human_stage],0.0
71,71,[seventh_lmp_month_human_stage],0.0
72,72,[5_year_old_human_stage],5.0
73,73,[16_year_old_human_stage],16.0
74,74,[fourth_lmp_month_human_stage],0.0
75,75,[53_year_old_human_stage],53.0
76,76,[5_month_old_human_stage],0.5
77,77,[10_year_old_human_stage],10.0
78,78,[20_year_old_human_stage],20.0
79,79,[40_year_old_human_stage],40.0
80,80,[17_year_old_human_stage],17.0
81,81,[25_year_old_human_stage],25.0
82,82,[11_year_old_human_stage],11.0
83,83,[18_year_old_human_stage],18.0
84,84,[52_year_old_human_stage],52.0
85,85,[55_year_old_human_stage],55.0
86,86,[unknown],
87,87,[33_year_old_human_stage],33.0
88,88,[65_year_old_human_stage],65.0
89,89,[36_year_old_human_stage],36.0
90,90,[41_year_old_human_stage],41.0
91,91,[80_year_old_and_over_human_stage],80.0
92,92,[80_year_old_human_stage],80.0
93,93,[86_year_old_human_stage],86.0
94,94,[68_year_old_human_stage],68.0
95,95,[69_year_old_human_stage],69.0
96,96,[88_year_old_human_stage],88.0
97,97,[72_year_old_human_stage],72.0
98,98,[85_year_old_human_stage],85.0
99,99,[84_year_old_human_stage],84.0
100,100,[87_year_old_human_stage],87.0
101,101,[81_year_old_human_stage],81.0
102,102,[77_year_old_human_stage],77.0
